1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1975:Q4,1341.00,0.00,0.00,1341.00,1341.00,0.00,0.00,0.00,0.00,0.00,0.00,1341.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1341.00,0.00,0.00,1341.00
1976:Q1,1033.00,155.00,0.00,878.00,878.00,0.00,0.00,0.00,0.00,0.00,0.00,1033.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1033.00,310.00,0.00,723.00
1976:Q2,919.00,89.00,0.00,830.00,830.00,0.00,0.00,0.00,0.00,0.00,0.00,919.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,919.00,178.00,0.00,741.00
1976:Q3,767.00,99.00,0.00,668.00,668.00,0.00,0.00,0.00,0.00,0.00,0.00,767.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,767.00,198.00,0.00,569.00
1976:Q4,1433.00,305.00,0.00,1128.00,1128.00,0.00,0.00,0.00,0.00,0.00,0.00,1433.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1433.00,610.00,0.00,823.00
1977:Q1,1721.00,466.00,0.00,1255.00,1255.00,0.00,0.00,0.00,0.00,0.00,0.00,1721.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1721.00,931.00,0.00,790.00
1977:Q2,1706.00,270.00,0.00,1436.00,1436.00,0.00,0.00,0.00,0.00,0.00,0.00,1706.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1706.00,540.00,0.00,1166.00
1977:Q3,1803.00,222.00,0.00,1581.00,1581.00,0.00,0.00,0.00,0.00,0.00,0.00,1803.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1803.00,443.00,0.00,1360.00
1977:Q4,1825.00,246.00,0.00,1579.00,1579.00,0.00,0.00,0.00,0.00,0.00,0.00,1825.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1825.00,491.00,0.00,1334.00
1978:Q1,2349.00,281.00,0.00,2068.00,2068.00,0.00,0.00,0.00,0.00,0.00,0.00,2349.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2349.00,561.00,0.00,1788.00
1978:Q2,2174.00,180.00,0.00,1994.00,1994.00,0.00,0.00,0.00,0.00,0.00,0.00,2174.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2174.00,360.00,0.00,1814.00
1978:Q3,1946.00,259.00,0.00,1687.00,1687.00,0.00,0.00,0.00,0.00,0.00,0.00,1946.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1946.00,517.00,0.00,1429.00
1978:Q4,2898.00,508.00,0.00,2390.00,2390.00,0.00,0.00,0.00,0.00,0.00,0.00,2898.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2898.00,1016.00,0.00,1882.00
1979:Q1,2397.00,278.00,0.00,2119.00,2119.00,0.00,0.00,0.00,0.00,0.00,0.00,2397.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2397.00,555.00,0.00,1842.00
1979:Q2,2448.00,302.00,0.00,2146.00,2146.00,0.00,0.00,0.00,0.00,0.00,0.00,2448.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2448.00,604.00,0.00,1844.00
