1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1985:Q2,882071.00,261070.00,126472.00,79354.00,263809.00,158580.00,243752.00,113440.00,238424.00,-4240.00
1985:Q3,861363.00,316114.00,215280.00,85326.00,215913.00,162255.00,239884.00,89452.00,259388.00,18156.00
1985:Q4,1345538.00,426034.00,191928.00,71810.00,276048.00,256621.00,295284.00,348172.00,322900.00,-1176.00
1986:Q1,696916.00,227895.00,158220.00,55403.00,257025.00,177859.00,197404.00,14592.00,195972.00,27432.00
1986:Q2,939258.00,210147.00,162020.00,67459.00,294663.00,218206.00,297232.00,137216.00,336904.00,-4016.00
1986:Q3,914205.00,304279.00,237100.00,64611.00,303718.00,240355.00,255984.00,50224.00,350700.00,21248.00
1986:Q4,973373.00,322991.00,240152.00,35651.00,324106.00,274504.00,231512.00,94764.00,450988.00,-3840.00
1987:Q1,649805.00,213996.00,228192.00,-13496.00,158613.00,84001.00,146692.00,130504.00,285900.00,2948.00
1987:Q2,821110.00,313636.00,252584.00,47516.00,211322.00,163848.00,228984.00,67168.00,363140.00,-14364.00
1987:Q3,734158.00,271724.00,199660.00,53972.00,258334.00,204161.00,123620.00,80480.00,299324.00,11116.00
1987:Q4,737135.00,189712.00,206032.00,41148.00,266419.00,210535.00,197372.00,83632.00,122804.00,46004.00
1988:Q1,815085.00,268624.00,193376.00,58496.00,306733.00,223387.00,199860.00,39868.00,152104.00,324.00
1988:Q2,824273.00,283224.00,232700.00,50920.00,309017.00,217039.00,183740.00,48292.00,296120.00,-976.00
1988:Q3,827134.00,273808.00,213640.00,40000.00,317158.00,218941.00,189344.00,46824.00,216696.00,-20376.00
1988:Q4,816624.00,270160.00,222576.00,36848.00,301140.00,238346.00,178656.00,66668.00,350108.00,3572.00
1989:Q1,676126.00,210355.00,155829.00,45388.00,244249.00,190199.00,190000.00,31522.00,312492.00,7990.00
